init_joint_angles,x_target,y_target,Theta,iter_count,cost
[-1.2788356   0.75979713  0.48106151],0.64,0.0,"[[-0.61198608 -3.95327809  0.85888678]
 [-0.67535299 -0.40284523 -1.03750523]
 [-1.65719812  0.29394787 -0.88891715]
 [-0.18277011 -0.20518781 -0.58425095]
 [ 1.25822192  0.77835333 -0.86564158]
 [ 0.56710565 -0.57057306 -0.07150822]
 [ 0.47799859 -1.64666686  1.68330121]
 [-1.6746793   0.74954069  0.27325988]
 [-0.65626511 -1.61839807  0.23009815]
 [-0.64927835  0.23038869 -0.53377701]]",37,20.8636815610555
[-1.2788356   0.75979713  0.48106151],0.31999999999999995,0.5542562584220407,"[[ 1.40360166 -0.39810281  0.12418331]
 [-1.15874408 -0.82368833  0.04303879]
 [-1.22091324 -1.36653737 -0.73643967]
 [-0.19741181 -0.07315802 -0.29952192]
 [-0.8514724  -0.83460742 -0.35990353]
 [ 0.67664305 -0.37084067  0.38209305]
 [-0.26712018 -0.2156602  -0.21959542]
 [-0.7730448  -0.50298574  0.29287183]
 [-0.63038911  0.0542093   0.57787725]
 [-0.25864012  0.50493495 -0.26329177]]",21,3.208295600655366
[-1.2788356   0.75979713  0.48106151],-0.32000000000000006,0.5542562584220407,"[[-3.13209826 -1.0128438  -0.05643951]
 [-2.5422713   0.80233282  0.09511344]
 [ 0.95406411 -0.54108199  0.33987966]
 [-0.73983789 -0.74943359 -0.27584366]
 [-0.48208341 -0.26571006 -0.15070078]
 [-2.64180317 -0.28048392 -0.1706774 ]
 [ 0.66184139  0.10441954 -0.02633303]
 [ 0.39657439  0.25143172  0.13304179]
 [-0.53937997 -0.44103144  0.39054711]
 [ 2.50025282 -0.13156494 -1.15913114]]",12,38.83866707818616
[-1.2788356   0.75979713  0.48106151],-0.64,7.83773951454306e-17,"[[-4.22607024e+00 -2.46054604e+00 -4.85592772e-01]
 [-3.00435548e+00 -1.10858364e+00  1.10240982e-03]
 [-4.12859266e+00 -1.21422212e+00  2.09117484e-02]
 [ 2.95576989e+00  4.00814716e-02  1.11572071e-01]
 [-1.31257662e-01  1.61769888e+00  1.21975475e-01]
 [-2.29986276e+00  1.81454582e-02  3.32590870e-02]
 [-3.68926910e+00  1.44898678e-01 -1.10217612e-01]
 [ 9.11833527e-01  4.03536181e-01 -6.75747799e-02]
 [ 5.82001932e-01  2.04438184e+00 -7.76734013e-01]
 [ 1.89850876e+00 -1.61139174e+00 -3.25468549e-01]]",18,20.966326138615358
[-1.2788356   0.75979713  0.48106151],-0.3199999999999998,-0.5542562584220408,"[[-5.47752188e+00 -1.29550815e+00 -1.75901349e+00]
 [-3.35194999e+00 -1.14391215e+00  5.46122319e-03]
 [-1.69895409e+00 -2.38886381e-01  1.14153257e+00]
 [-1.42550749e+00 -6.27550191e-01  8.75865600e-01]
 [-1.99972071e+00 -8.35043524e-01 -3.03520024e-01]
 [-4.56757895e-01 -5.07225444e-01 -1.32417409e+00]
 [-7.66052040e-02 -4.07779237e-01  5.56686781e-01]
 [ 2.74032615e+00  1.14099716e+00  9.22990890e-01]
 [-2.24192319e-01  8.77266688e-02  5.05692248e-01]
 [ 6.60003055e-02  9.77507890e-02 -1.20721031e+00]]",24,3.1998696287267125
[-1.2788356   0.75979713  0.48106151],0.32,-0.5542562584220407,"[[-4.36482373e+00 -3.13483737e+00 -8.25718315e+00]
 [-7.45645076e-01 -2.88894475e+00  3.16683063e-01]
 [-6.39817629e-03  1.28003948e+00 -7.31922909e-01]
 [ 5.02775710e-01 -3.33849488e+00  8.84598485e-02]
 [ 1.54777454e+00 -8.83362992e-01  3.18438472e+00]
 [-1.26273238e+00 -1.15351719e+00 -1.56225727e+00]
 [ 7.27412159e-01 -1.42628890e+00  1.40494033e+00]
 [-1.12403956e+00 -6.52047480e-01 -1.54007346e+00]
 [ 8.69488742e-01  1.59642861e+00  4.03996314e+00]
 [ 1.67000714e+00 -1.79394607e+00  1.83381861e-01]]",48,38.18778012153999
[-1.2788356   0.75979713  0.48106151],0.64,-1.567547902908612e-16,"[[-0.04135627 -3.97042071  1.02236961]
 [-0.3858132   0.05101559 -0.71690946]
 [-0.78717307 -0.15881915 -0.72267928]
 [-0.35670227  0.06717739 -0.64561457]
 [-0.30180491 -0.10949837 -0.18999405]
 [ 0.23997518 -0.11347315 -1.7401491 ]
 [-1.09911866 -1.23520166 -0.61456758]
 [-0.38661276 -0.99534834 -0.77766771]
 [-0.0380403   0.19091084 -0.68705611]
 [-0.44802354 -0.18523842 -0.00889817]]",43,20.79864204035591
[-1.2788356   0.75979713  0.48106151],0.76,0.0,"[[-0.18650961 -1.96646026 -0.28820311]
 [-0.64963786 -0.23137247 -0.70783296]
 [-1.08187724 -0.48514486 -0.62240995]
 [-0.40996754 -0.17666097  0.12748986]
 [-0.22813038 -0.4366726   0.16223576]
 [-0.44288969  1.04016844 -0.29198377]
 [-0.32844816  0.37641445  0.29872741]
 [-0.28137614 -0.81122197  0.47878545]
 [ 0.30865705 -0.59616814  0.30986893]
 [ 0.15332595 -0.31984414  0.03535381]]",10,29.398222843363847
[-1.2788356   0.75979713  0.48106151],0.4738522494126376,0.5941919266757025,"[[-0.64149107 -1.44683678 -1.11124186]
 [ 1.4812046  -2.43914168 -0.45327629]
 [ 0.10235065 -0.91861722 -0.32612098]
 [-0.42272745  0.72044623  0.01283469]
 [-0.14343648 -0.54526916  0.56323887]
 [-0.5647163   1.55216491 -0.34542358]
 [ 0.20988619 -0.88518751  1.11660388]
 [ 0.13890912  0.47707336  0.07449083]
 [-0.35180954 -1.04359195 -0.54284206]
 [ 0.33226469 -0.83339651  0.23759532]]",27,1.123982048283097
[-1.2788356   0.75979713  0.48106151],-0.16911590980679872,0.740945213258186,"[[-1.78288295 -1.7066211  -0.49006827]
 [-1.47635097  0.57575216 -1.05408277]
 [ 0.4205243  -0.23261993 -0.26896983]
 [-0.27778509  0.27561269  0.21328314]
 [-1.2725545   0.01436963  0.21436202]
 [ 0.11175092 -1.24244001 -0.47289931]
 [-1.06200743 -0.65488829  0.49616307]
 [ 0.28758303 -0.62074033  0.31944831]
 [ 0.44605381  0.10266281  0.35603944]
 [ 0.62231883 -0.09627086 -0.23047244]]",12,41.97234224069907
