init_joint_angles,x_target,y_target,Theta,iter_count,cost
[ 1.87692977 -2.53758597  1.03690263],0.3826834323650898,0.9238795325112866,"[[-2.99405177  9.4498631  -0.733633  ]
 [-0.26629988  2.21465067 -1.26878506]
 [ 0.31150729  0.2874123  -1.01217111]
 [-2.09539674  5.54460618 -1.61465106]
 [-1.08412457 -0.20758596  1.24931324]]",52,1.2242957935654435
[ 1.87692977 -2.53758597  1.03690263],0.5555702330196022,0.831469612302545,"[[-3.72068723 10.35160154 -2.35850325]
 [-0.41236051  2.35386561 -0.81058746]
 [-0.53081067  0.0145278  -1.04158148]
 [-1.86515938  5.64031656 -1.65364218]
 [-1.29503844 -0.03940024  1.52681346]]",13,0.977728851947148
[ 1.87692977 -2.53758597  1.03690263],0.7071067811865475,0.7071067811865474,"[[-4.96993142 11.13408345 -1.41023929]
 [-0.01201224  2.22690671 -0.69008136]
 [-0.93740425 -0.4168101  -1.43708359]
 [-2.47796131  5.3707063  -0.84107615]
 [-1.12206865 -0.47933301  1.74905274]]",28,0.75569272059679
[ 1.87692977 -2.53758597  1.03690263],0.8314696123025451,0.5555702330196021,"[[-5.40014131 11.19936661 -1.78021375]
 [-0.59561622  1.82640652 -0.83554884]
 [-0.75124896 -0.14417858 -1.12490701]
 [-2.75346459  5.06016505 -1.12699243]
 [-1.75205979 -0.89507664  1.54461034]]",10,0.5752852046201709
[ 1.87692977 -2.53758597  1.03690263],0.9238795325112866,0.3826834323650897,"[[-6.54547103 10.80121592 -2.00867528]
 [-0.44063192  1.80598068 -0.97120271]
 [-0.66869409 -0.33135128 -0.88515102]
 [-2.53936518  5.29795864 -1.13562481]
 [-1.77187609 -0.72339924  1.21466825]]",10,0.4316462075822444
[ 1.87692977 -2.53758597  1.03690263],0.9807852804032303,0.19509032201612822,"[[-7.23420374 10.59268982 -2.92329788]
 [-0.41738167  2.26429423 -1.61004344]
 [-0.86222347 -0.76122047 -0.99495898]
 [-2.87289774  5.36871384 -1.3067146 ]
 [-1.97620187 -1.38070676  1.12903888]]",16,0.24865208591856702
[ 1.87692977 -2.53758597  1.03690263],0.9999999999999999,0.0,"[[-7.93751569 10.72689377 -3.90055246]
 [-1.01404514  2.06815005 -2.56860772]
 [-0.58306486 -1.03935055 -0.47392687]
 [-2.82795741  5.70533625 -1.34332641]
 [-2.12007545 -0.84299621  1.86725686]]",22,0.07804351758542266
[ 1.87692977 -2.53758597  1.03690263],0.9999999999999999,-2.449293598294706e-16,"[[-8.6114038  11.19376764 -3.41669391]
 [-1.01719249  1.72207049 -2.47560145]
 [-0.08117869 -0.71694981 -0.15468109]
 [-2.51027567  5.87842159 -1.42801643]
 [-1.72557063 -1.08723733  2.15970621]]",13,0.05103452408338521
[ 1.87692977 -2.53758597  1.03690263],0.9807852804032302,-0.1950903220161287,"[[-9.46390152 10.42783061 -4.65288731]
 [-1.21223044  1.78900662 -2.85584854]
 [ 0.2561328  -1.23077723 -0.14883075]
 [-2.30943562  6.64571953 -1.65315265]
 [-1.17169258 -0.68522161  2.31193546]]",23,-0.07537906706500655
[ 1.87692977 -2.53758597  1.03690263],0.9238795325112867,-0.3826834323650895,"[[-10.8521316   10.15621639  -5.19810756]
 [ -0.66548596   1.47754703  -2.88379385]
 [  0.27164592  -1.5966408   -0.20321634]
 [ -1.9209543    6.88080839  -1.42438424]
 [ -0.97225577   0.07079669   2.44529786]]",16,-0.17162138608200003
