init_joint_angles,x_target,y_target,Theta,iter_count,cost
[-2.08948062 -0.29764537 -0.87375423],-0.6531728429537763,-0.7572088465064847,"[[-0.58798148 -0.76457585  3.46083772]
 [ 0.34161638  0.33513427 -1.30121611]
 [ 0.59270487 -0.00362241  0.57102564]
 [-0.15081609  0.49753883  0.03399858]
 [-0.20473785 -0.39804237 -0.26470522]]",21,-0.2658724649278697
[-2.08948062 -0.29764537 -0.87375423],-0.6715589548470186,-0.7409511253549587,"[[-0.81389809 -0.83666151  3.48499307]
 [ 0.25570239  0.47241226 -1.20457485]
 [ 0.82842919 -0.06992158  0.49558814]
 [-0.18569571  0.3533523   0.22567106]
 [-0.32219299 -0.20620041 -0.38272444]]",5,-0.2712052690595184
[-2.08948062 -0.29764537 -0.87375423],-0.689540544737067,-0.7242470829514666,"[[-1.19981489 -0.71061475  3.3590609 ]
 [ 0.29673536  0.39007639 -1.46534351]
 [ 1.46587619 -0.39691364  0.69379165]
 [-0.33458993  0.18152472  0.53324215]
 [-0.25843072 -0.35292727 -0.12728537]]",10,-0.26387651571638854
[-2.08948062 -0.29764537 -0.87375423],-0.7071067811865476,-0.7071067811865474,"[[-1.21468741 -0.37165129  3.06542275]
 [ 0.34498767  0.42659611 -1.4688552 ]
 [ 1.3264041  -0.67280559  0.71963454]
 [-0.31225086 -0.31830785  0.32879163]
 [-0.65956707 -0.38401937  0.06537419]]",12,-0.2528285754790811
[-2.08948062 -0.29764537 -0.87375423],-0.7242470829514669,-0.6895405447370667,"[[-1.33323519 -0.21848546  2.85781788]
 [ 0.5638004   0.46760452 -1.26125268]
 [ 0.94126323 -0.51336847  0.89847392]
 [-0.57626918 -0.28989899  0.76984989]
 [-0.86933581 -0.69839149  0.04131995]]",7,-0.25803950681222454
[-2.08948062 -0.29764537 -0.87375423],-0.7409511253549593,-0.671558954847018,"[[-1.63604407 -0.34569036  3.08338912]
 [ 0.65313651  0.65117644 -1.39148322]
 [ 1.03662808 -0.34308513  0.85781244]
 [-0.549475   -0.6913842   0.62586244]
 [-0.72628372 -0.3356522   0.21419115]]",8,-0.26111808625853533
[-2.08948062 -0.29764537 -0.87375423],-0.7572088465064847,-0.6531728429537764,"[[-1.04338428 -0.58961652  2.86943834]
 [ 0.31314803  0.66759127 -1.45385242]
 [ 0.44048325 -0.05378699  1.0640381 ]
 [-0.83880708 -0.74463958  0.35576698]
 [-0.63095811  0.47971955  0.0217772 ]]",13,-0.24409130447381516
[-2.08948062 -0.29764537 -0.87375423],-0.773010453362737,-0.6343932841636452,"[[-0.60218741 -0.52373169  3.15282583]
 [-0.25374236  0.95754547 -1.58681873]
 [ 0.2632963  -0.35640367  1.01956952]
 [-1.09603886 -0.50385701  0.26343104]
 [-0.69915808  0.61563055 -0.32030116]]",16,-0.23191446302305269
[-2.08948062 -0.29764537 -0.87375423],-0.7883464276266062,-0.6152315905806266,"[[-0.80807071 -0.4961355   3.22478003]
 [-0.15406445  0.96394162 -1.51363315]
 [ 0.29706345 -0.42009062  0.90800878]
 [-0.99581988 -1.21361618  0.28928917]
 [-0.44085775  0.23655141  0.3391347 ]]",13,-0.26250466753818025
[-2.08948062 -0.29764537 -0.87375423],-0.8032075314806448,-0.5956993044924331,"[[-1.21737218 -0.82045672  3.1847165 ]
 [-0.03377788  1.3060023  -1.92746785]
 [ 0.56330982 -0.53743566  1.28359256]
 [-0.45368105 -1.47356364  0.52830806]
 [-0.41029227  0.09400115 -0.18011464]]",12,-0.23868841858623788
[-2.08948062 -0.29764537 -0.87375423],-0.8175848131515838,-0.5758081914178448,"[[-1.46036274 -0.43396617  2.70966434]
 [ 0.13823413  0.75146523 -1.32719285]
 [ 0.73445729 -0.48819416  0.77493252]
 [-0.67420568 -1.68459099  0.3627112 ]
 [-1.00127702 -0.19944962  0.47703046]]",21,-0.24024279149727046
