init_joint_angles,x_target,y_target,z_target,Theta,iter_count,cost
[0.         0.52359878 1.57079633 1.57079633],0.1300106589062371,0.2251850667511098,0.3713489267443429,"[[  7.96849073 -13.26977641   3.79503584  -0.0414343 ]
 [ -1.35002267   1.28839906   0.27676168   1.11828096]
 [ -2.62923857   0.28441451   1.28052665   0.45301466]
 [  0.17322796   3.08122378  -0.83775506  -1.67240886]
 [  5.25911942   3.36880404   0.99996102  -1.04188422]]",85,3.708311484955714
[0.         0.52359878 1.57079633 1.57079633],0.0672984691825236,0.2511613062607866,0.3713489267443429,"[[  9.17276056 -13.24251163   3.27995564   0.8955277 ]
 [ -1.24164487   0.97923133   0.33062976   0.99680902]
 [ -2.00316956   0.26365344   1.74364644  -0.09791804]
 [  0.03833572   3.28557119  -0.76852876  -1.99537105]
 [  4.5657769    3.6430703    0.64518084  -0.72852295]]",10,3.587157850571697
[0.         0.52359878 1.57079633 1.57079633],7.3658044514213e-17,0.2600213178124742,0.3713489267443429,"[[11.64794542 -6.32618954  2.01131064  2.22129947]
 [ 0.33120062  4.02202653  2.7183052   0.54582134]
 [-3.84638675 -0.58999039 -0.18201135 -0.81782625]
 [-2.55319614  2.78013417 -0.79446902 -1.63998467]
 [ 4.33016651  0.80840167 -0.50672183 -1.68166707]]",165,2.984078375405792
[0.         0.52359878 1.57079633 1.57079633],-0.0672984691825236,0.2511613062607866,0.3713489267443429,"[[ 1.30888271e+01 -8.34086596e+00  8.11462746e-01  4.35357654e-01]
 [-2.91923575e-01  5.02628703e+00  5.32625725e+00  2.63143303e-01]
 [-2.35005591e+00 -6.18774840e-01 -1.29786016e+00 -1.35889465e-01]
 [-2.38577558e+00  3.99431374e+00 -1.07879616e+00 -1.66714379e+00]
 [ 3.54101579e+00  1.64653859e+00 -2.72888943e-01 -1.19866426e-02]]",87,3.0564083224422407
[0.         0.52359878 1.57079633 1.57079633],-0.130010658906237,0.2251850667511098,0.3713489267443429,"[[ 14.38661551 -10.25577979  -2.00716429   3.18553729]
 [  1.66832475   7.76830675   5.17436185  -1.8112309 ]
 [ -2.69286479  -1.2403715    1.30417355  -0.0995636 ]
 [ -3.77245688   4.5078782   -1.34933905   0.89575021]
 [  0.71817392  -0.29594977  -0.28864987   1.00489246]]",377,2.911543765151874
[0.         0.52359878 1.57079633 1.57079633],-0.1838628370782628,0.183862837078263,0.3713489267443429,"[[15.62826612 -9.82440727 -2.33040455  3.99871586]
 [ 1.62080182  7.39179571  5.03089055 -1.9428451 ]
 [-2.43803337 -1.33996275  1.52702103 -0.23525851]
 [-3.74340033  4.84815894 -1.39888789  0.50362864]
 [ 0.77846224 -0.36018468 -0.5029397   0.98429523]]",17,2.5684632507176204
[0.         0.52359878 1.57079633 1.57079633],-0.2251850667511098,0.1300106589062371,0.3713489267443429,"[[16.08490148 -9.81635899 -1.78537855  3.84280277]
 [ 2.66831965  6.95827503  4.86573206 -1.35822524]
 [-2.28209156 -1.61543427  1.36156917 -0.55108536]
 [-3.39294946  5.11950414 -1.90601065  0.52795151]
 [ 0.70882335 -0.07897087 -0.26050368  0.77289284]]",10,3.019120441619613
[0.         0.52359878 1.57079633 1.57079633],-0.2511613062607866,0.0672984691825237,0.3713489267443429,"[[16.9154961  -9.75691811 -1.68194165  3.94386467]
 [ 3.3637067   7.024166    4.73811036 -1.95597212]
 [-1.96041055 -1.40778776  1.60382805 -0.55423372]
 [-3.57506413  5.32959029 -2.337041    0.64136051]
 [ 0.70405118  0.27703789 -0.57000733  0.32619694]]",15,3.0216479409737524
[0.         0.52359878 1.57079633 1.57079633],0.2442592916808849,0.0,0.2910968883852116,"[[-1.85040762 -6.14250503  0.53542396  5.94580529]
 [ 0.39750214 -0.38097998  0.00829449  1.29548516]
 [-0.31922216 -0.17809992 -1.64757909  1.94753588]
 [-0.20818304  1.35073232 -0.41471006  0.69767829]
 [ 0.03578129  1.11234887 -0.2856728   0.34317728]]",71,6.046400722685396
[0.         0.52359878 1.57079633 1.57079633],0.2442592916808849,0.0,0.2910968883852116,"[[-0.90436502 -2.46200548 -0.72658548  5.22806269]
 [-0.2103495  -0.7057173  -0.63134427  2.17567119]
 [ 0.05701333 -0.02709439  0.48225086  1.94886623]
 [-0.27260389  0.68174548  0.77697986  0.66038532]
 [-0.2648794  -0.21678999 -0.71779229  0.03366959]]",31,6.073090252791417
[0.         0.52359878 1.57079633 1.57079633],0.2343650741078631,0.0688157947775322,0.2910968883852116,"[[ 1.24558684 -2.35326664  0.99858456  5.30073644]
 [ 0.27051732 -0.7139878  -2.52111042  1.85095795]
 [ 0.79028149 -0.32313842  0.77870709  1.84854687]
 [-2.17279084  1.27277849  0.23843536  1.19818447]
 [ 0.94454755 -0.31065016 -1.30204499  1.31397882]]",33,3.229231470749382
[0.         0.52359878 1.57079633 1.57079633],0.2054839920533864,0.1320565431254788,0.2910968883852116,"[[ 2.68003876 -2.23757438  1.08947139  5.1334113 ]
 [ 1.1951992  -0.63482319 -2.12272598  1.93639416]
 [ 0.19010218 -0.46329345  0.48263805  1.74247451]
 [-2.70194447  1.04734925  0.11224299  1.12973012]
 [ 1.69716797 -0.37523551 -1.17302365  0.93856608]]",18,3.0280873684547887
[0.         0.52359878 1.57079633 1.57079633],0.1599558190230998,0.1845988557199014,0.2910968883852116,"[[ 2.93851151 -6.54402609  1.15021403  4.68230664]
 [ 2.458728   -0.77930788 -2.47040447  1.87042245]
 [ 0.73352379  0.333607    0.76061277  1.83355962]
 [-3.15383471 -0.13199772  0.40140367  1.52078267]
 [ 2.33577559 -0.83354199 -0.03975942  0.48602709]]",30,3.353188283928797
[0.         0.52359878 1.57079633 1.57079633],0.1014689768294463,0.2221860668755646,0.2910968883852116,"[[ 2.41444166 -7.53075006  0.75965673  5.53492545]
 [ 3.29344797 -1.04151431 -2.767164    1.36755287]
 [ 1.9794405   0.6622644   1.11313176  1.05689904]
 [-1.99207208 -0.00915523  0.60598668  2.05819559]
 [ 3.47958628 -2.35832537  0.44136205  1.82683087]]",50,3.08679391412322
[0.         0.52359878 1.57079633 1.57079633],0.0347617215923123,0.2417730842843888,0.2910968883852116,"[[ 3.28421228 -6.43947557  2.65490835  4.99674369]
 [ 3.14496784 -0.74660176 -3.91804075  1.54705716]
 [ 2.67930716  0.75505791  0.32188304  1.69897755]
 [-0.99029648 -0.02938131  0.36712746  1.90059197]
 [ 3.94176388 -2.24703027 -0.70518616  1.83911721]]",36,3.0192522354830977
[0.         0.52359878 1.57079633 1.57079633],-0.0347617215923122,0.2417730842843888,0.2910968883852116,"[[ 4.04054868 -8.14962684  2.7981089   4.95726846]
 [ 4.02589182 -1.08073619 -4.14753791  1.89843392]
 [ 2.82800438  1.44190764  0.65318536  0.99001938]
 [-1.04189412 -0.49145398 -0.14647461  2.22397982]
 [ 4.00687653 -3.12557771 -0.38927091  1.81783505]]",15,3.112022926979978
[0.         0.52359878 1.57079633 1.57079633],-0.1014689768294463,0.2221860668755647,0.2910968883852116,"[[ 4.79317013 -7.45784923  3.51350719  4.94117471]
 [ 5.09457936 -1.09636633 -4.54614436  1.55085487]
 [ 3.2469977   1.53875328  0.3537994   1.04624466]
 [-1.52704728 -0.29396519 -0.15469801  2.21737001]
 [ 4.28634572 -3.49478974 -0.44971552  2.04263947]]",13,3.212313968754392
[0.         0.52359878 1.57079633 1.57079633],-0.1599558190230997,0.1845988557199014,0.2910968883852116,"[[ 5.44653954 -7.12066229  4.16468315  4.83923046]
 [ 6.06072485 -0.87450699 -4.7086324   1.76922506]
 [ 3.61386709  0.92302957 -0.06273898  0.98679928]
 [-1.39630662 -0.35915836 -0.71695488  2.34326073]
 [ 3.55052385 -3.54653162 -0.42399987  1.49353702]]",18,3.223537167958968
[0.         0.52359878 1.57079633 1.57079633],-0.2054839920533864,0.1320565431254788,0.2910968883852116,"[[ 6.12680887 -4.69810964  3.2809613   3.58326791]
 [ 6.1866783  -0.67003781 -4.210381    2.99807381]
 [ 4.23329931  1.24155696  0.25568391  1.73687508]
 [-0.77714509  0.62359115 -0.80748112  2.60389252]
 [ 5.19404364 -3.96688626 -0.15440405  1.04556601]]",33,3.0449555579978798
[0.         0.52359878 1.57079633 1.57079633],-0.2343650741078631,0.0688157947775322,0.2910968883852116,"[[ 9.69314628 -8.01001585  3.21442971  1.30079189]
 [ 4.47488447  2.50943674 -4.30750141  4.06872426]
 [ 4.70875946  1.11213126  1.26820397  2.06404442]
 [-1.11758904 -1.15923222 -1.71848551  4.75079538]
 [ 3.06967341 -5.53230721 -0.70080461  2.01115354]]",131,3.1207352233337766
[0.         0.52359878 1.57079633 1.57079633],0.1806652637168917,0.0,0.2006491028788964,"[[-1.80828746 -1.69819425  0.12657814  7.2411956 ]
 [-0.45739268  0.23931062 -0.88619027  2.04833345]
 [-0.2269883  -2.13801362 -0.71186375  2.66861343]
 [-0.25586036 -0.56201263 -0.23320401  2.79589714]
 [-0.2061493  -0.03489693  0.23806947  1.64430023]]",31,98.79383871794116
[0.         0.52359878 1.57079633 1.57079633],0.1806652637168917,0.0,0.2006491028788964,"[[-1.24081465 -2.65717534 -2.25916665  5.96648492]
 [-0.54259126 -0.42279188  1.54464896  2.97987503]
 [ 0.05617584 -0.53325327  0.21016283  3.64382445]
 [-0.8205512   0.42669771 -1.31843154  2.58269479]
 [-1.05110993 -0.25266225  0.28925131 -1.18442874]]",23,98.79463666869476
[0.         0.52359878 1.57079633 1.57079633],0.1669129393837902,0.0691376032283242,0.2006491028788964,"[[-1.94017347 -3.18599292 -1.26047195  6.76095592]
 [-0.2040672  -0.64351183  1.43461607  3.75844527]
 [ 0.00904259 -0.62486248  0.03590105  4.0050673 ]
 [-1.59717139  0.61606126 -1.60733483  2.95194834]
 [-1.63355169 -0.26204959  0.2554714  -1.44596504]]",13,136.14473914302388
[0.         0.52359878 1.57079633 1.57079633],0.1277496330990701,0.12774963309907,0.2006491028788964,"[[-3.0049674  -3.16245916 -0.25973     6.98991139]
 [-0.43486951 -0.47406835  2.21743421  4.25199463]
 [-0.38178954 -0.60217521  0.60058162  3.93423627]
 [-1.34603278  0.22904882 -1.04331428  2.48658248]
 [-2.04879985 -0.46796848 -0.60970911 -1.40475747]]",10,255.0762654036775
[0.         0.52359878 1.57079633 1.57079633],0.0691376032283242,0.1669129393837902,0.2006491028788964,"[[ 4.86316993 -3.21056447 -2.69694526  5.05533195]
 [ 1.42414226  0.22744138  2.20785741  4.38859103]
 [ 1.74313356 -0.70092559  1.3865648   2.61331015]
 [-0.51623535  0.28989846 -1.90453404  3.3274499 ]
 [-2.0821059   0.03595554 -3.37620778 -1.92429815]]",25,96.48206081764326
[0.         0.52359878 1.57079633 1.57079633],1.1062556846400196e-17,0.1806652637168917,0.2006491028788964,"[[ 6.29062105 -3.07335286 -1.62023337  5.35006096]
 [ 1.9567388   0.21784423  1.76811248  5.52114581]
 [ 2.34793496 -0.98150608  0.71466141  2.17685946]
 [-0.5160074   0.53806593 -2.26819807  2.94651491]
 [-1.53859907 -0.23404965 -3.26993938 -2.10436121]]",17,96.48462889764292
[0.         0.52359878 1.57079633 1.57079633],-0.0691376032283242,0.1669129393837902,0.2006491028788964,"[[ 6.7396955  -4.10181217 -0.20629779  5.90941527]
 [ 3.48025162  0.46845702  0.31027569  5.86241157]
 [ 3.00934611 -0.48510939  0.47511873  2.32588292]
 [-0.14507899 -0.08887277 -2.16406889  3.43646865]
 [-1.65721697  0.00826889 -3.13455197 -2.34643593]]",25,96.46335668961808
[0.         0.52359878 1.57079633 1.57079633],-0.12774963309907,0.1277496330990701,0.2006491028788964,"[[ 6.8335467  -3.11958154 -0.2055004   6.40917818]
 [ 4.53035503 -0.83175265  0.52417816  6.84586436]
 [ 4.08746471 -0.89168376  0.0298243   2.55960637]
 [ 1.28311474  0.62008781 -2.26014103  4.02188862]
 [-1.52679633 -0.43111449 -2.83122405 -2.27318456]]",21,96.45829304426633
[0.         0.52359878 1.57079633 1.57079633],-0.1669129393837902,0.0691376032283242,0.2006491028788964,"[[ 8.58901496 -2.94818684 -0.01433951  4.82003113]
 [ 4.94940214 -1.42220489  0.27497473  6.53301217]
 [ 4.27428798 -0.87066571  0.06267004  2.28556033]
 [ 1.51816245  0.85985811 -2.221538    3.5637758 ]
 [-1.76980076 -0.41692061 -2.83210407 -1.15025374]]",10,96.52778835741609
[0.         0.52359878 1.57079633 1.57079633],2.1023103385362888e-17,0.0,0.3433333333333332,"[[-0.40270912  0.08878716  0.94316296 14.08157965]
 [-1.36067321  1.67547265  2.04725344 -1.73892012]
 [-0.54876686 -0.35664265 -1.48007497 -2.14256389]
 [ 0.09920743 -0.87603161  1.17924374  3.83534971]
 [ 0.27381624  0.58920307  0.26465812  1.12686937]]",72,6.342135479009155
