init_joint_angles,x_target,y_target,Theta,iter_count,cost
[ 2.43343712 -1.91529541],0.6,0.0,"[[-1.74609737 -0.25346011]
 [-1.38341996 -0.17700242]
 [-1.58989047  0.10021478]
 [-0.98265853  0.17988428]
 [-0.31476881 -0.49250852]]",10,19.71308397745806
[ 2.43343712 -1.91529541],-0.6,7.347880794884119e-17,"[[ 1.25950973  0.38174451]
 [ 0.93611558  0.10445277]
 [-0.7441585   0.21959638]
 [-0.42850871  0.14492855]
 [ 1.19913068 -0.2940376 ]]",16,20.714071519691814
[ 2.43343712 -1.91529541],0.6,-1.4695761589768238e-16,"[[-14.23904156   2.83907385]
 [ -5.99079601   0.45317374]
 [  2.88591077  -0.71205546]
 [ -3.67131664   0.67332178]
 [  8.86606212  -0.56217265]]",99,17.39291584532598
